tiêu đề,link truyện,thể loại,mô tả,link ảnh
Cao Võ: Hạ Cánh Đến Một Vạn Năm Sau,https://goctruyentranhvui16.com/truyen/cao-vo--ha-canh-den-mot-van-nam-sau,"Manhua, Huyền Bí, Hành Động, Võ Thuật","Khi võ thuật lần đầu tiên phát triển mạnh mẽ, những con thú ngoài hành tinh đáng sợ đã xâm chiếm và các chiến binh loài người dần dần rút lui. Lu Sheng xuyên qua và bước vào thế giới 10.000 năm sau trong giấc mơ của anh ấy — kỹ thuật luyện thân cơ bản 10.000 năm sau đã được sửa đổi, và hiệu quả mạnh hơn bây giờ gấp ngàn lần! Vạn năm sau, hô hấp phương pháp, luyện thân phương thuốc, võ công kinh thư... Vạn năm võ đạo về sau, nhân loại diệt vong. Nền văn minh võ học đã nhân lên đến đỉnh cao là không ai thừa kế. Lu Sheng là tia lửa duy nhất!",https://goctruyentranhvui16.com/image/cao-vo--ha-canh-den-mot-van-nam-sau-0000550012-09-06-2024/1YQRYPcyNlsYC1yJqSXFLA3CzlrpOOqhq?code=gtt-yes
Anh Hùng Hồi Quy,https://goctruyentranhvui16.com/truyen/anh-hung-hoi-quy,"Phiêu Lưu, Manhwa, Huyền Bí, Võ Thuật, Hành Động","[Từ tác giả của Thăng cấp cùng thần] Anh hùng mạnh nhất của nhân loại, Kim Sung In. Anh ấy bỏ mặc mọi thứ để quyết tâm lên đường chiến đấu nhưng… Anh ấy vẫn không thể ngăn chặn sự hủy diệt của thế giới. Tuy nhiên câu truyện huyền thoại của anh ấy chỉ mới bắt đầu khi anh ấy quay trở lại quá khứ vào 20 năm trước.",https://goctruyentranhvui16.com/image/anh-hung-hoi-quy-0000131896-04-03-2022/14tB1Iho3q12tM7jYH4u7JMWIOEhmXPXK?code=gtt-yes
Bạn Học Của Tôi Là Lính Đánh Thuê,https://goctruyentranhvui16.com/truyen/ban-hoc-cua-toi-la-linh-danh-thue,"Manhwa, Học Đường, Webtoons","Yu Ijin - người duy nhất sống sót sau một vụ tai nạn máy bay thảm khốc khi anh còn nhỏ. Sau quãng thời gian 10 năm trở thành lính đánh thuê để hoàn thành giao kèo với người đã cứu mình, cậu đã trở về với gia đình ở quê hương. Một cuộc sống mới và cả sóng gió mới bắt đầu....",https://goctruyentranhvui16.com/image/ban-hoc-cua-toi-la-linh-danh-thue-0000008397-15-11-2020/1qYwKO1aVkCcZ4iLs0J71tU9QFLWO0OZJ?code=gtt-yes
Võ Đang Kỳ Hiệp,https://goctruyentranhvui16.com/truyen/vo-dang-ky-hiep,"Viễn Tưởng, Hành Động, Manhwa","Nếu Tử thần gọi tên bạn ba lần, bạn sẽ bị đưa xuống địa ngục. ""Hyeokyeon Mugang."" ""Hyeokyeon Mugang."" ""Hyeokyeon Mu..."" Đồ khốn nạn! Tôi muốn sống lâu hơn! Biến khỏi đây ngay! Tôi tuyệt vọng nuốt Cây thuốc bất tử, và thật bất ngờ, tôi thực sự đã sống! Khi tôi cuối cùng cũng mở mắt ra, nghĩ rằng tất cả chỉ là một giấc mơ... Tôi bị bao quanh bởi một nhóm người già?! Tôi hỏi mình đang ở đâu, và—Núi Shaman?!!!!!!!! Bằng cách nào đó, tôi đã nhập vào cơ thể của một cậu bé sai vặt đáng thương... thật điên rồ! Tôi... tôi là... Tôi là người mạnh nhất trong số những người mạnh nhất, thủ lĩnh của Gia tộc Sa, Hyeokyeon Mugang!!! Tại sao bây giờ tôi lại là một phần của một gia tộc Shaman?! Chà, vì tôi đã ở đây, tôi cũng có thể trở thành đệ tử giỏi nhất có thể. Câu chuyện võ thuật bất tử, tàn nhẫn, không có giới hạn của bậc thầy rác rưởi ""Con đường của võ đang"" bắt đầu!",https://goctruyentranhvui16.com/image/vo-dang-k--hiep-0000019392-03-02-2021/1TmcxtuDsZliMeYqN6tcyAC-4sXDTg3_C?code=gtt-yes
Sát Thần Tu La,https://goctruyentranhvui16.com/truyen/sat-than-tu-la,"Võ Thuật, Phiêu Lưu, Hành Động, Manhwa",Một tác phẩm của bộ đôi đã mang đến Gosu và Long Phi Bất Bại,https://goctruyentranhvui16.com/image/sat-than-tu-la-0000545331-04-06-2024/1AtcS1n8ogv1M1WIr2Jj_7TxYLkOlk35B?code=gtt-yes
Con Trai Út Của Gia Đình Kiếm Thuật Danh Tiếng,https://goctruyentranhvui16.com/truyen/con-trai-ut-cua-gia-dinh-kiem-thuat-danh-tieng,"Huyền Bí, Hành Động, Phiêu Lưu, Manhwa","Jin Runcandel chính là con trai út, cũng như là nỗi hổ thẹn lớn nhất của dòng tộc Runcandel, dòng tộc kiếm sĩ lừng danh nhất xứ sở... Kết quả là, hắn đã bị dòng tộc trục xuất, cuộc đời cũng từ đó đi vào ngõ cụt. Và rồi, hắn đã được ban cho một ân huệ. ""Nhà ngươi sẽ dùng sức mạnh này để làm gì?"" ""Đương nhiên là làm lợi cho chính mình rồi."" Hắn có mọi thứ, từ hồi ức quá khứ, tài năng vượt bậc, cho đến giao ước với thần linh... Mọi yếu tố cần thiết để vươn đến đỉnh cao đều nằm gọn trong lòng bàn tay.",https://goctruyentranhvui16.com/image/con-trai-ut-cua-gia-dinh-kiem-thuat-danh-tieng-0000178144-01-05-2022/18pX_8g-Mc19asIlamqKKh_4cvsewVcmn?code=gtt-yes
Hóa Ra Ta Sớm Đã Vô Địch,https://goctruyentranhvui16.com/truyen/hoa-ra-ta-som-da-vo-dich,"Huyền Bí, Hành Động, Manhua, Phiêu Lưu","Diệp Trường Thanh xuyên qua năm năm, cứ tưởng rằng mình có thể giống nhân vật chính khác trong sảng văn có được hệ thống hack, lại ngay cả tu tiên giả bình thường cũng không được. Bất đắc dĩ chỉ có thể ở căn nhà nhỏ trong tiểu trấn bên cạnh tông môn, mở một gian tạp hóa mưu sinh. Thẳng đến một ngày nào đó, cửa hàng của hắn trong vòng một đêm trở thành thánh địa các phương đại lão hướng tới , thậm chí chó hắn nuôi cũng là Yêu Vương người người e ngại. Từ đây, Diệp Trường Thanh biến thành tuyệt thế cao nhân trong mắt mọi người.",https://goctruyentranhvui16.com/image/hoa-ra-ta-som-da-vo-dich-0000982958-27-03-2025/1WNthFxxQU80ekIrOCURYNh_R-BuEIxqB?code=gtt-yes
Quỷ Vương,https://goctruyentranhvui16.com/truyen/quy-vuong,"Murim, Hành Động, Võ Thuật, Manhwa","Cuộc đại chiến chính thống - phi chính thống chia cắt giới võ giả đã kết thúc với phần thắng thuộc về tà giáo. Bất chấp sự thống trị của giáo phái ma quỷ, người kế vị của giáo phái ma quỷ đã bị ám sát như một phần của một âm mưu lớn, và anh trai của người kế vị đã trở về từ trong bóng tối để trả thù. Con trai cả của giáo phái ma quỷ, Hyuk Ryeonhwi, là một người sống sót của Đảo Mây Tím, nơi còn được gọi là vùng đất của người chết. Anh ta thâm nhập vào cơ sở đào tạo hàng đầu của giáo phái ma quỷ để đi đến tận cùng của âm mưu và cuối cùng gặp được một võ sư bí mật của phe chính thống, Bi Seol. Cả hai giúp đỡ lẫn nhau và phát triển những tình cảm đặc biệt trong quá trình này… Từ đó bắt đầu sự thống trị của Hyuk Ryeonhwi, người cuối cùng sẽ được gọi là quỷ vương.",https://goctruyentranhvui16.com/image/quy-vuong-0000573166-08-07-2024/1Wuh0yXipfBG5QIw-kkHeeAF2gTn_rO8n?code=gtt-yes
Sống Sót Qua Ngày Tận Thế,https://goctruyentranhvui16.com/truyen/song-sot-qua-ngay-tan-the,"Hành Động, Manhwa, Drama, Võ Thuật","Một cậu bé bị nhốt dưới tầng hầm và rèn luyện cả đời. Người cha loạn trí của anh, người đã giam giữ anh, đã tuyên bố, “Ngày tận thế đang đến.” Giờ đây, được trang bị những kỹ năng huấn luyện và sinh tồn mà anh đã rèn giũa qua nhiều năm luyện tập, anh phải sống sót qua ngày tận thế sắp xảy ra.",https://goctruyentranhvui16.com/image/song-sot-qua-ngay-tan-the-0000544526-03-06-2024/1QyqBIttBux3p5k7N4WfDGWiFxxxYUf-M?code=gtt-yes
Kiếm Sĩ Thiên Tài Của Học Viện,https://goctruyentranhvui16.com/truyen/kiem-si-thien-tai-cua-hoc-vien,"Trùng Sinh, Võ Thuật, Manhwa, Phiêu Lưu, Hành Động","Ronan đã sống một cuộc đời hoang phí đầy hối tiếc. Cơ hội thứ hai đến với anh ta vào cuối cuộc đời vô ích của mình. Anh ấy đã quay trở lại thời điểm khi anh ấy còn là một đứa trẻ mười tuổi! Đối với những người đã hy sinh bản thân vì anh ta, anh ta quyết tâm sống một cuộc sống mới.",https://goctruyentranhvui16.com/image/kiem-si-thien-tai-cua-hoc-vien-0000439290-01-08-2023/14NJAsez6nNckFPnY3t8rw2aUIcdnsMe-?code=gtt-yes
Thiên Hạ Đệ Nhất Côn Luân Khách Điếm,https://goctruyentranhvui16.com/truyen/thien-ha-de-nhat-con-luan-khach-diem,"Manhwa, Hành Động, Phiêu Lưu, Hài Hước","Chuyến phiêu lưu của Côn Luân - Vân Long sau 100 năm bế quan đột phá vượt qua cả đỉnh cao của Thái Thanh Thần Công, nhưng tất cả huynh đệ bằng hữu sư thừa đã không còn, cuộc sống mới của anh sẽ bắt đầu như thế nào?",https://goctruyentranhvui16.com/image/thien-ha-de-nhat-con-luan-khach-diem-0000928442-18-02-2025/1PuqLZ9-fb1OlFvy-a8YCzssRCtLxSWCw?code=gtt-yes
Tuyệt Thế Võ Thần,https://goctruyentranhvui16.com/truyen/tuyet-the-vo-than,"Võ Thuật, Phiêu Lưu, Hành Động","Cửu Tiêu đại lục, tông môn san sát, võ đạo làm đầu, người yếu tầm thường, bị người bắt nạt, cường giả giận dữ, máu chảy thành sông.Võ đạo hoàng giả, càng có thể quan sát thiên địa, ngạo cười non sông, động thì lại ngày kinh thạch phá, phơi thây trăm vạn.Một đời cường nhân Lâm Phong, nghịch thiên xuất thế, đến kinh thế truyền thừa, tu võ đạo, đạp Cửu Tiêu, phá thiên địa, ngạo thương khung!",https://goctruyentranhvui16.com/image/tuyet-the-vo-than-0000002126-03-08-2020/1sw6N1WXyrOgAGIlXe4d-bfbwFybDlV6s?code=gtt-yes
Tiền Đạo Số 1,https://goctruyentranhvui16.com/truyen/tien-dao-so-1,"Hành Động, Manga, Shounen, Drama","Tên khác: Blue Lock Yoichi Isagi đã bỏ lỡ cơ hội tham dự giải Cao Trung toàn quốc do đã chuyền cho đồng đội thay vì tự thân mình dứt điểm. Cậu là một trong 300 chân sút U-18 được tuyển chọn bởi Jinpachi Ego, người đàn ông được Hiệp Hội Bóng Đá Nhật Bản thuê sau hồi FIFA World Cup năm 2018, nhằm dẫn dắt Nhật Bản vô địch World Cup bằng cách tiêu diệt nền bóng đá Nhật Bản. Kế hoạch của Ego gồm việc cô lập 300 tay sút trong một nhà ngục - dưới một tổ chức với tên gọi là ""Blue Lock"", với mục tiêu là tạo ra chân sút ""tự phụ"" nhất thế giới, điều mà nền bóng đá Nhật Bản còn thiếu.",https://goctruyentranhvui16.com/image/tien-dao-so-1-0000468464-08-11-2023/1BZvaDbMqNV2Fzjh7sBoAB7lj2LRbfY5Z?code=gtt-yes
Người Chơi Che Giấu Quá Khứ,https://goctruyentranhvui16.com/truyen/nguoi-choi-che-giau-qua-khu,"Viễn Tưởng, Hài Hước, Hành Động, Manhwa, Phiêu Lưu","Trò chơi thực tế ảo “Lịch sử lục địa Archana” đã trở thành một phần của thực tế và “người chơi” được đồng bộ hóa với con người xuất hiện để bảo vệ thế giới. Lee Hoyeol, một người làm công ăn lương bình thường, đã đảm nhận thân xác của nhân vật mà anh ấy đã tạo ra ở trường cấp hai, “Grandfell Claudi Arpeus Romeo.” Trong những trường hợp bình thường, đó sẽ là một thất bại tuyệt đối trong sự nghiệp, nhưng Grandfell, người có nghề nghiệp là “thợ săn quỷ”, lại trở nên vô cùng kiêu hãnh trước lũ quỷ! Thợ săn quỷ duy nhất trên thế giới này, Grandfell (= Lee Hoyeol) bắt đầu hành động!",https://goctruyentranhvui16.com/image/nguoi-choi-che-giau-qua-khu-0000438118-29-07-2023/1gPhC3t5TpN501ghyLjdYA9bv46DB62lx?code=gtt-yes
Huấn Luyện Viên Murim Thiên Tài,https://goctruyentranhvui16.com/truyen/huan-luyen-vien-murim-thien-tai,"Manhwa, Võ Thuật, Hành Động, Murim, Phiêu Lưu","Trong trận đại dịch, phòng tập của tôi bị phá sản. Trong khi cố gắng kiếm sống một cách tuyệt vọng, tôi sở hữu một nhân vật trong Murim. Tôi rất phấn khích khi thấy mình đang ở Thiếu Lâm Tự, nhưng cái quái gì vậy? Cơ thể của mọi người đều bị tàn phá do tập luyện sai cách! Làm sao tôi có thể chỉ ngồi nhìn khi tôi từng là huấn luyện viên cá nhân?! Tôi sẽ dạy cho bạn các phương pháp tập thể dục hiện đại, đúng đắn và chữa lành vết thương cho tất cả các bạn bằng phương pháp điều trị tần số thấp và liệu pháp hồng ngoại sử dụng năng lượng bên trong! X ngày cho đến khi phòng tập Thiếu Lâm mở cửa.",https://goctruyentranhvui16.com/image/huan-luyen-vien-murim-thien-tai-0000523586-07-05-2024/1webLQwWR7DerItCQH5QXi2sN-8sJ3Hij?code=gtt-yes
Đại Quản Gia Là Ma Hoàng,https://goctruyentranhvui16.com/truyen/dai-quan-gia-la-ma-hoang,"Võ Thuật, Phiêu Lưu, Hành Động, Manhua","Zhuo Yifan là một hoàng đế ma thuật hay có thể gọi là quỷ hoàng vì ông có một cuốn sách cổ của hoàng đế tên là Cuốn sách của chín bí mật, ông đã bị tất cả các chuyên gia nhắm tới, thậm chí ông còn bị học trò của mình phản bội và giết chết. Sau đó linh hồn của anh ta nhập vào và sống lại trong một cậu bé hầu cận của gia đình tên là Zhuo Fan. Bởi vì một số ma thuật quỷ dữ đang giữ anh ta lại, anh ta phải hợp nhất ký ức của đứa trẻ và không thể bỏ qua gia đình và tình nhân mà anh ta phục vụ. Làm sao hắn có thể dẫn dắt gia tộc hậu duệ này trở lại đỉnh cao của lục địa này!",https://goctruyentranhvui16.com/image/dai-quan-gia-la-ma-hoang-0000169872-20-04-2022/10cVS-nIm0Ev_OIbWJIzEmQZKqBEeKf3w?code=gtt-yes
Tuyệt Thế Quân Lâm,https://goctruyentranhvui16.com/truyen/tuyet-the-quan-lam,"Manhwa, Phiêu Lưu, Murim, Võ Thuật, Hành Động","Thiên hạ này, ta sẽ nắm giữ trong tay! Nam nhân trẻ tuổi Xích Lợi Càn, thân là con của một nhà buôn trái cây tầm thường, lại ẩn chứa võ công cái thế, tay trái Quân Tử kiếm uyển chuyển như nước chảy mây trôi, tay phải Địa Ngục đao sắc bén như lưỡi hái tử thần. Võ công cái thế, mưu trí hơn người, lại thêm tài ăn nói khéo léo, liệu chàng trai mang hoài bão quân lâm thiên hạ này sẽ làm chấn động giang hồ ra sao? Hành trình đầy sóng gió, kỳ ngộ và thử thách của Xích Lợi Càn chính thức bắt đầu!",https://goctruyentranhvui16.com/image/tuyet-the-quan-lam-0000737397-29-09-2024/1_THrSG_b3_c1NsltVpR7yGl3C1KfieN1?code=gtt-yes
Vạn Cổ Tối Cường Tông,https://goctruyentranhvui16.com/truyen/van-co-toi-cuong-tong,"Võ Thuật, Hành Động, Phiêu Lưu, Manhua","Quân Thường Tiếu, người đứng đầu Thiết Cốt phái, nhưng phái này chẳng nổi tiếng mấy. Thời gian trước đây, một võ sư có họ Vương, với xương cốt vững chắc, từng rơi từ vách đá xuống mà vẫn sống sót, và sau đó, anh được một người qua đường cứu giúp và chia sẻ bữa cơm.",https://goctruyentranhvui16.com/image/van-co-toi-cuong-tong-0000598746-28-07-2024/1kV8guGWgVEPPwlFe9y-TFZQ7mjd7inSk?code=gtt-yes
Quý Tộc Báo Thù,https://goctruyentranhvui16.com/truyen/quy-toc-bao-thu,"Huyền Bí, Manhwa, Phiêu Lưu, Hành Động","Người yêu, cha mẹ, tương lai của anh - tất cả đều đã bị tước đoạt khỏi anh. Một câu chuyện hồi hộp đầy bạo lực bắt đầu về một người đàn ông thề sẽ trả thù! Sinh viên đại học Enomoto Daichi là một chàng trai trẻ bình thường có bạn gái và bạn bè. Cho đến ngày anh bị vu là kẻ giết người... Khi được một đồng nghiệp gọi đến tại khách sạn, anh ta phát hiện người đã gọi điện cho mình đang trong tình trạng khiếm nhã...",https://goctruyentranhvui16.com/image/quy-toc-bao-thu-0000986626-29-03-2025/19_AUQvnTOvNkIiqU1-PZGG5qse8aat_G?code=gtt-yes
Công Tử Thực Sự Quá Chính Nghĩa,https://goctruyentranhvui16.com/truyen/cong-tu-thuc-su-qua-chinh-nghia,"Hài Hước, Manhua, Hành Động, Huyền Bí","Công tử không hổ là chính nghĩa làm gương mẫu! Phong hoa tuyệt đại, nho nhã hiền hoà, ghét ác như cừu, không háo nữ sắc!Trời không sinh công tử, chính đạo vạn cổ như đêm dài!Thế nhân đều là cảm khái....Chớ khen! Đừng lại khen ta! Bản công tử không muốn chính nghĩa, bản công tử mới không phải cái gì chính đạo làm gương mẫu! Buông ra bản công tử, bản công tử không điên, không cần uống thuốc!Bản công tử muốn làm chuyện xấu, muốn làm nhân vật phản diện!Van cầu các ngươi, để bản công tử làm chuyện xấu đi!",https://goctruyentranhvui16.com/image/cong-tu-thuc-su-qua-chinh-nghia-0000192497-23-05-2022/1oiOlDDtUPbWv7dWi5Wnp78RNS9n9NWlW?code=gtt-yes
Troll Bá Nhất Thế Giới,https://goctruyentranhvui16.com/truyen/troll-ba-nhat-the-gioi,"Game, Manhwa, Hành Động, Phiêu Lưu",Trò chơi xác suất nhất trên thế giới. Điện tử Ajin. Công nghiệp Silicorp. Tổng công ty Argos. Đây là trò chơi thực tế ảo đầu tiên do tập đoàn hàng đầu thế giới - Arcadia sản xuất. [Chào mừng bạn đến với thế giới kỳ ảo của Arcadia.] Những câu chuyện điên rồ của thế giới đó bây giờ sẽ mở ra!,https://goctruyentranhvui16.com/image/troll-ba-nhat-the-gioi-0000326534-28-10-2022/1Z6BNEoIyIUNbtchqJj2Hd-hdanapNPZa?code=gtt-yes
Luật Thanh Niên,https://goctruyentranhvui16.com/truyen/luat-thanh-nien,"Manhwa, Học Đường, Hành Động","Một trại trẻ mồ côi tư nhân ở Nga có tên là 'Biệt thự chết' đào tạo trẻ nhỏ trở thành đặc vụ. “Mật danh Sean”, huyền thoại về Dead Mansion, người được cho là đã thất lạc bỗng nhiên xuất hiện tại một trường cấp 2 ở Hàn Quốc?!",https://goctruyentranhvui16.com/image/luat-thanh-nien-0000579600-14-07-2024/1XBjiLFz07vN2w7gjl43RKAxNJCqETRol?code=gtt-yes
Thợ Săn Mosin,https://goctruyentranhvui16.com/truyen/tho-san-mosin,"Phiêu Lưu, Manhwa, Hành Động","Moshin, những linh hồn sống trên đất liền và trên biển, có thể tốt về bản chất, hoặc có thể có ý định làm tổn thương con người. Trong một thế giới với những sinh vật như vậy, một chiến binh đi khắp các vùng đất với thanh gươm đen tối bí ẩn của mình, và săn lùng tất cả các moshins, dù tốt hay xấu.",https://goctruyentranhvui16.com/image/tho-san-mosin-0000110485-29-12-2021/1UlqX235PbyUxAuVe4DVUqTsc7IIF9vG3?code=gtt-yes
Trở Thành Thiên Tài Tốc Biến Của Học Viện Ma Pháp,https://goctruyentranhvui16.com/truyen/tro-thanh-thien-tai-toc-bien-cua-hoc-vien-ma-phap,"Huyền Bí, Siêu Nhiên, Phiêu Lưu, Manhwa","Nhân vật có độ khó cao nhất và diễn xuất tệ nhất, Baek Yuseol, bị coi là một nhân vật rác rưởi trong trò chơi vì anh ta không thể sử dụng phép thuật trong bối cảnh giả tưởng mà những người khác đều có thể. Tuy nhiên… [Bởi vì đã đạt đến kết thúc sai lầm nên 90% Thế giới Aether đã bị phá hủy.] [Xin hãy đạt đến “Kết thúc thực sự”.] Đột nhiên, những lời đó vang vọng trong tâm trí tôi trước khi tôi được chuyển sinh đến Thế giới Aether. [Bạn có thể sử dụng kỹ năng “Blink.”] “Tại sao tôi lại sở hữu nhân vật này?” Blink là kỹ năng ma thuật duy nhất tôi có. Sống sót tại Học viện Stella giữa những pháp sư thiên tài, tôi trở thành Pháp sư Blink khét tiếng.",https://goctruyentranhvui16.com/image/tro-thanh-thien-tai-toc-bien-cua-hoc-vien-ma-phap-0000550576-10-06-2024/1tvVqVQFQdixQT4wQCsC80zyAm62CGEZG?code=gtt-yes
Sức Mạnh Của Ác Thần,https://goctruyentranhvui16.com/truyen/suc-manh-cua-ac-than,"Viễn Tưởng, Hành Động, Manhua","Lin Jie là một người lớn tuổi khác quản lý một hiệu sách. Anh ấy tốt bụng và luôn giới thiệu những cuốn sách chữa lành tâm hồn cho những khách hàng đang chán nản của mình. Đôi khi anh ấy thậm chí còn chia sẻ các tác phẩm của chính mình. Khi thời gian trôi qua, những khách hàng này bắt đầu tôn trọng anh ta rất nhiều. Họ mang những sản phẩm đơn giản của địa phương hàng ngày để tỏ lòng biết ơn và yêu cầu giới thiệu sách. Họ thậm chí còn bắt đầu kể những câu chuyện về người bán hàng bình thường này. Những danh hiệu đáng trân trọng và thân ái của anh bao gồm ""Linh cẩu của Ác thần"", ""Sứ giả của Phúc âm Xác thịt"", ""Tác giả của Giáo phái des Goules"" và ""Người chăn cừu của các vì sao"" ???",https://goctruyentranhvui16.com/image/suc-manh-cua-ac-than-0000077991-20-09-2021/1I_fpY7QsCGIdqWqaNEIrc0eedAmRhDl5?code=gtt-yes
Bà Xã Nhà Tôi Đến Từ Ngàn Năm Trước,https://goctruyentranhvui16.com/truyen/ba-xa-nha-toi-den-tu-ngan-nam-truoc,"Phiêu Lưu, Hành Động, Manhua, Hài Hước","Đường triều thiếu nữ khương lúa xuyên qua ngàn năm qua đến hứa mắt xanh trước, vận mệnh dắt cái này vượt qua ngàn năm yêu thương. Thiếu nữ quen thuộc hết thảy, đều đã biến thành lịch sử. Thân bằng, hảo hữu, địch nhân, toàn bộ yên lặng tại 1,200 năm trước. Thiếu niên thì không giữ lại chút nào, mang theo thiếu nữ mở ra cuộc sống hoàn toàn mới. Thống khổ, mê mang, tiếng hoan hô, cười nói đều đem lưu tại cái này thế giới mới.",https://goctruyentranhvui16.com/image/ba-xa-nha-toi-den-tu-ngan-nam-truoc-0000901800-31-01-2025/1zAZCBy4YBs0H0ZKCjTBvyZ85ofSLSJUv?code=gtt-yes
Tu Tiên Trở Về Tại Vườn Trường - Phần 2,https://goctruyentranhvui16.com/truyen/tu-tien-tro-ve-tai-vuon-truong---phan-2,"Võ Thuật, Phiêu Lưu, Manhua, Hành Động","Tu tiên giới mạnh nhất Diêm La Tiên Tôn giáng lâm đô thị, tay đấm doanh quốc bát kỳ xà, chân đá tây phương vạn thần điện, trong nháy mắt linh khí khôi phục, phất phất tay tiên môn mở lại! Những kẻ từng làm nhục ta, lần này, tta bắt tất cả quỳ dưới chân!",https://goctruyentranhvui16.com/image/tu-tien-tro-ve-tai-vuon-truong---phan-2-0000883136-18-01-2025/1Syrui5eRMDSLEsO8KIuTEm1pSk2pDp4A?code=gtt-yes
Hồi Quy Gia,https://goctruyentranhvui16.com/truyen/hoi-quy-gia,"Huyền Bí, Phiêu Lưu, Manhwa, Siêu Nhiên, Leo Tháp, Game, Hành Động","[Bạn có muốn đảo ngược thời gian không? ] “Ngày 28 tháng 2 năm 1985. Ngày tôi được sinh ra.” Trong một tương lai không xa, trong một chiều không gian bị xé nát, quái vật xuất hiện và con người thức tỉnh. Một kỷ nguyên hỗn loạn nơi những kẻ thức tỉnh và quái vật bị cuốn vào nhau. Sau khi Nasun trở lại thời điểm anh được sinh ra trong cuộc khủng hoảng của cái chết ... ""Mọi người sẽ được cứu. Không ai bị lạc mất."" Trước khi ngày tận thế bắt đầu, Anh phải chuẩn bị xong mọi thứ bằng cách tích lũy của cải và tấn công các ngục tối trên khắp thế giới!",https://goctruyentranhvui16.com/image/hoi-quy-gia-0000352455-08-12-2022/1XC53CjnEMELwIM15XjXugj2Ty2I1x908?code=gtt-yes
